name,wakeUp,goOut,timeLeft,arangeTime,endToArange,clUsage,actGoOut
"לקחת פלאפון וסט אייפד","07:00","07:30",,,,,
"לנעול נעליים  ","07:00","07:30",,,,,
"פיזיותרפיה","07:00","07:30",,,,,
"לאכול ולבלוע ריטלין אחרי ה","07:00","07:30",,,,,
"לצחצח שיניים","07:00","07:30",,,,,
"להתלבש","07:00","07:30",,,,,
"להתלבש","07:00","07:30",,,,,
"לקחת פלאפון וסט אייפד","07:00","07:30",,,,,
"לצחצח שיניים","07:00","07:30",,,,,
"לנעול נעליים  ","07:00","07:30",,,,,
"פיזיותרפיה","07:00","07:30",,,,,
"לאכול ולבלוע ריטלין אחרי ה","07:00","07:30",,,,,
"להתלבש","07:35","08:10",,,,,
"לנעול נעליים  ","07:35","08:10",,,,,
"לאכול ולבלוע ריטלין אחרי ה","07:35","08:10",,,,,
"לקחת פלאפון וסט אייפד","07:35","08:10",,,,,
"פיזיותרפיה","07:35","08:10",,,,,
